date,stocks,count
2018-07-31,"ADANIENT, ADANIPOWER, APOLLOTYRE, ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BATAINDIA, BERGEPAINT, BSOFT, CIPLA, COFORGE, DABUR, EXIDEIND, GAIL, HAVELLS, HCLTECH, HDFCBANK, HINDUNILVR, ICICIBANK, ICICIPRULI, INDIANB, INDUSINDBK, INFY, ITC, JSWSTEEL, JUBLFOOD, M&M, MARICO, RBLBANK, RELIANCE, SBIN, SONATSOFTW, SUNPHARMA, TCS, TECHM, TITAN, VBL",39
2018-08-31,"ABFRL, ADANIENSOL, ADANIENT, ADANIPOWER, ADANITRANS, APOLLOHOSP, AUBANK, AXISBANK, BAJAJFINSV, BAJFINANCE, BATAINDIA, BERGEPAINT, BIOCON, BSOFT, CIPLA, COALINDIA, COFORGE, DABUR, DIVISLAB, DLF, DRREDDY, EXIDEIND, GAIL, GLENMARK, GMRINFRA, GRAPHITE, HAVELLS, HCLTECH, HINDUNILVR, ICICIBANK, INDHOTEL, INFY, INTELLECT, ITC, JSWSTEEL, JUBLFOOD, LT, LUPIN, M&M, MARICO, NESTLEIND, PIDILITIND, RBLBANK, RELIANCE, SRF, SUNPHARMA, TATACHEM, TCS, TECHM, TITAN, TORNTPOWER, VBL, VGUARD, VOLTAS, WELCORP, WIPRO",56
2018-09-28,"ABFRL, AUROPHARMA, AXISBANK, BIOCON, CIPLA, DIVISLAB, DRREDDY, GAIL, GLENMARK, HCLTECH, HIKAL, INFY, JSWSTEEL, LUPIN, RELIANCE, SONATSOFTW, SUNPHARMA, TCS, TECHM, WIPRO",20
2018-10-31,"ADANIENT, AUROPHARMA, BIOCON, DIVISLAB, DRREDDY, HAVELLS, HCLTECH, ICICIBANK, NESTLEIND, TECHM, WIPRO",11
2018-11-30,"ADANIENT, ADANIPOWER, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BATAINDIA, BERGEPAINT, CONCOR, DABUR, DIVISLAB, DRREDDY, EXIDEIND, GLENMARK, HAVELLS, HDFCBANK, HINDUNILVR, ICICIBANK, ITC, KOTAKBANK, LT, LUPIN, MARICO, NESTLEIND, PIDILITIND, RBLBANK, RELIANCE, SRF, TITAN, TORNTPOWER, UPL, VBL, WIPRO",34
2018-12-31,"ABFRL, ADANIPOWER, ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BATAINDIA, BIOCON, CANBK, COFORGE, CONCOR, DABUR, DCBBANK, DRREDDY, EXIDEIND, GAIL, GLENMARK, HDFCBANK, HINDUNILVR, ICICIBANK, ITC, KOTAKBANK, LT, MARICO, MUTHOOTFIN, NESTLEIND, PFC, PIDILITIND, POWERGRID, PTC, RBLBANK, RELIANCE, SBIN, TATACHEM, TECHM, TITAN, TORNTPOWER, UPL, VBL, WIPRO",40
2019-01-31,"ABFRL, ASIANPAINT, AUROPHARMA, AXISBANK, BAJFINANCE, BIOCON, COFORGE, DABUR, DCBBANK, DRREDDY, HAVELLS, ICICIBANK, INFY, KOTAKBANK, LUPIN, MUTHOOTFIN, NESTLEIND, PFC, PRAJIND, RBLBANK, RELIANCE, SBIN, TCS, TECHM, TITAN, UPL, VBL, WIPRO",28
2019-02-28,"ABFRL, ADANIPOWER, AXISBANK, BAJAJFINSV, BAJFINANCE, BATAINDIA, COFORGE, DABUR, HAVELLS, HCLTECH, INFY, JUSTDIAL, MUTHOOTFIN, PETRONET, PFC, PIDILITIND, PRAJIND, RBLBANK, RECLTD, RELIANCE, SRF, TCS, TECHM, TITAN, UPL, VBL, WIPRO",27
2019-03-29,"ABFRL, ADANIENT, ADANIPOWER, AMBUJACEM, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BEML, CANBK, COFORGE, DCBBANK, DELTACORP, DRREDDY, FEDERALBNK, GMRINFRA, HAVELLS, HCLTECH, HDFCBANK, ICICIBANK, IDFCFIRSTB, INDHOTEL, INDIGO, INDUSTOWER, INFY, ITC, JUBLFOOD, JUSTDIAL, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MUTHOOTFIN, NESTLEIND, PETRONET, PFC, PIDILITIND, PNB, PRAJIND, RBLBANK, RECLTD, RELIANCE, SBIN, SIEMENS, SRF, TCS, TITAN, UNIONBANK, UPL, VBL, VGUARD, VOLTAS",53
2019-04-30,"ACC, ADANIPORTS, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BHEL, BPCL, DCBBANK, DHANBANK, DRREDDY, FEDERALBNK, GAIL, HCLTECH, HDFCBANK, HINDUNILVR, ICICIBANK, INDHOTEL, INDIGO, INFY, IOC, ITC, JSWENERGY, KOTAKBANK, LT, MARICO, NESTLEIND, NTPC, ONGC, PETRONET, PFC, PIDILITIND, RBLBANK, RECLTD, RELIANCE, SBIN, SRF, TCS, TECHM, TITAN, UPL, VBL, VOLTAS, WIPRO",45
